supplier_code,supplier_name,supplier_product_code,ing.prod_code,ean,product_description,pack_size
1668,SPAR WESTERN CAPE,2770027,2491,6001008761164,SB 5% BREAD PREMIX (S),25KG
1668,SPAR WESTERN CAPE,2770029,2492,6001008761171,SB 6% CRISPY ROLL PRE S,25KG
1668,SPAR WESTERN CAPE,2770031,2493,6001008761188,SB SOFT ROLL PREMIX S,25KG
1668,SPAR WESTERN CAPE,2770033,2494,6001008761195,SB 15% SOFT PREMIX S,25KG
1668,SPAR WESTERN CAPE,2770165,2495,6001008761218,SB S AND S PREMIX S,25KG
1668,SPAR WESTERN CAPE,2818478,2506,6001008774690,SB WHITE BREAD FULL MIX,12.5K
1668,SPAR WESTERN CAPE,2818496,2507,6001008774713,SB BREAD BROWN FULL MIX,12.5K
1668,SPAR WESTERN CAPE,2845119,2515,6001008778032,SB PREMIX CRUST CRISPY,12.5K
1668,SPAR WESTERN CAPE,2845121,2516,6001008778049,SB PREMIX SOFT SILKY WHT,12.5K
1668,SPAR WESTERN CAPE,2845129,2517,6001008778056,SBK PREMIX SWEET N LIGHT,12.5K
1668,SPAR WESTERN CAPE,2845383,2518,6001008778100,SBK PAN RELEASE OIL,25KG
1668,SPAR WESTERN CAPE,2849393,2520,6001008778667,SMARTBAKER MIX,12.5K
1668,SPAR WESTERN CAPE,3060725,2554,6001008824326,SBK HOT CROSS BUN MIX,12.5K
1668,SPAR WESTERN CAPE,3114507,2564,6001008833205,SBK SPREAD CARAMEL,1KG
1668,SPAR WESTERN CAPE,3114513,2565,6001008833212,SBK COCOA POWDER,5KG
1668,SPAR WESTERN CAPE,3116691,2566,6001008834189,SMARTBAKER BAKING POWDER,5KG
1668,SPAR WESTERN CAPE,3120858,2567,6001008834684,SBK PREMIX QUEENIE,12.5K
1668,SPAR WESTERN CAPE,3120869,2568,6001008834691,SBK MIX COASTAL SCONE,12.5K
1668,SPAR WESTERN CAPE,3120917,2569,6001008834714,SBK MIX MADEIRA BUTTER,12.5K
1668,SPAR WESTERN CAPE,3120919,2570,6001008834721,SBK MIX SPONGE COAST CHOC,25KG
1668,SPAR WESTERN CAPE,3124248,2571,6001008835636,SBK CAKE FLOUR,12.5K
1668,SPAR WESTERN CAPE,3405737,2572,6001008834707,SBK MIX COASTAL SPONGE VAN 25K,25KG
1668,SPAR WESTERN CAPE,2016902,4270,6001571010201,SASKO FLOUR CAKE,12.5K
1668,SPAR WESTERN CAPE,2021091,4273,6001571040208,SASKO FLOUR BROWN BREAD,12.5K
1668,SPAR WESTERN CAPE,2782476,4277,6001571110000,RICHBAKE MIX WHITE,12.5K
1668,SPAR WESTERN CAPE,2782478,4278,6001571110024,RICHBAKE MIX SUPER BROWN,12.5K
1668,SPAR WESTERN CAPE,2839106,4279,6001571122157,SASKO MIX COMP SOFTROLL,12.5K
120,WESTERN CAPE MILLING,BBF12.5,15731,6009667010111,WC MILLING FLOUR BROWN BREAD,12.5K
120,WESTERN CAPE MILLING,CF12.5,15732,6009667010005,WC MILLING CAKE FLOUR,12.5K
120,WESTERN CAPE MILLING,CWF12.5,15733,,WC MILLING WHEAT CRUSHED,12.5K
120,WESTERN CAPE MILLING,WBF12.5,15734,6009667010104,WC MILLING FLOUR WHITE BREAD,12.5K
120,WESTERN CAPE MILLING,WBMIX,15736,6009667010210,W/CAPE MILL  MIX WHT BRD,9.5KG
120,WESTERN CAPE MILLING,BBMIX,15737,6009667010234,W/CAPE MILL MIX BRWN BRD,9.5KG
1668,SPAR WESTERN CAPE,2953337,22068,6001008800887,SBK BAGUETTE S/DOUGH FULL,250GR
1668,SPAR WESTERN CAPE,2953346,22069,6001008800894,SBK BAGUETTE S/DOUGH HALF,170GR
1668,SPAR WESTERN CAPE,2953351,22070,6001008800825,SBK BAGUETTE S/DOUGH WHT,155GR
1668,SPAR WESTERN CAPE,2953923,22071,6001008801242,SBK FTO SDOUG M/GRAIN BGT,270GR
1668,SPAR WESTERN CAPE,3012024,22072,6001008798542,SBK FTO PANINI WHITE SQU,130GR
1668,SPAR WESTERN CAPE,3012028,22073,6001008798559,SBK FTO PANINI WHITE LONG,120GR
1668,SPAR WESTERN CAPE,3012030,22074,6001008798535,SBK FTO PANINI OLIVE LONG,120GR
1668,SPAR WESTERN CAPE,3405794,22700,6001008834257,SBK CHURROS FRZ 230GR,230G
1668,SPAR WESTERN CAPE,3411239,22710,6001008778162,SBK DOUGH MIX M/MOMENTS 5KG,5KG
1668,SPAR WESTERN CAPE,2829871,23018,,DAIRY INNOV BINGO MINI,1KG
1668,SPAR WESTERN CAPE,3027406,23200,6001008815775,SBK BAGEL TRADITION FTO,110GR
1668,SPAR WESTERN CAPE,3027414,23201,6001008815782,SBK SOURDOUGH  FTO,400GR
1668,SPAR WESTERN CAPE,3027430,23202,6001008815799,SBK SOURDOUGH RYE FTO,500GR
1668,SPAR WESTERN CAPE,3027446,23203,6001008815805,SBK SOURDOUGH 5 GRAIN,500GR
1668,SPAR WESTERN CAPE,3031026,23204,6001008818905,SBK FTO APPLE STRUDEL,1'S
377,GOLDEN YOLK / SUCCESS VENTURES,LL-BA,26370,,GOLDEN YOLK LOOSE BAKERY EGGS,30'S
1668,SPAR WESTERN CAPE,3431881,26520,6009888494844,P/SKY S/DOUGH ART A/GRAIN 16'S,16EA
1668,SPAR WESTERN CAPE,3037509,26521,6001008820342,SBK FTO PASTEIS DE NATA,65GR
128,ACE PACKAGING (CAPE)(DESERTMOO,LP032-BA,26535,,BROWN KRAFT FRENCH,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,LP022-BA,26536,,BROWN KRAFT SINGLE,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,PCS0093C-BA,26537,,T739 CLAM CUP SQUARE,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,AS096-BA,26545,,CLAMSHELL RECT 500ML,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,OT002-BA,26549,,APRONS ON CARD WHITE,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,B180BLDBA,26552,,COMBO DBAB 3 LAYER BABBY CAKE,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,UG005-BA,26561,,SILICON LARGE BAKING PAPER,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,FP004A-BA,26562,,GREASEPROOF 1,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,FP006A-BA,26563,,GREASEPROOF 4,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,MAIN50U-BA,26564,,MAIN 50 WHITE,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,MAIN71MW-BA,26565,,MAIN 71M WHITE,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,SS024A-BA,26566,,MUFFIN CUP X LARGE WHITE,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,TEA001-BA,26567,,TEASPOONS WRAPPED BLACK,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,TH144-BA,26576,,TRIFLE BOWL&LID,EA
128,ACE PACKAGING (CAPE)(DESERTMOO,BBKW-BA,26582,,GOLDPACK BREAD CLIPS WHITE,EA
1154,Bakery In House,1001,26710,6009525306943,WHITE BREAD,EACH
1154,Bakery In House,1002,26711,6009525306936,BROWN BREAD,EACH
1154,Bakery In House,1003,26712,211003,PANINI ROLLS,EACH
1154,Bakery In House,1004,26713,2001940000004,SOFT  ROUND ROLL,EACH
120,WESTERN CAPE MILLING,CURRY,26722,,WC MILLING CURRY MIX,12.5K
120,WESTERN CAPE MILLING,HEALT,26723,,WC MILLING HEALTHY BREAD MIX,12.5K
120,WESTERN CAPE MILLING,OUMA,26724,,WC MILLING OUMA BREAD PREMIX,12.5K
120,WESTERN CAPE MILLING,CIABATTA,26725,,WC MILLING CIABATTA MIX,12.5K
120,WESTERN CAPE MILLING,MUNI,26726,,WC MILLING MUNICH MIX,12.5K
120,WESTERN CAPE MILLING,SWEET,26727,,WC MILLING SWEET POTATO MIX,12.5K
120,WESTERN CAPE MILLING,LIN,26728,,WC MILLING LIN SEED,5K
120,WESTERN CAPE MILLING,POPP,26729,,WC MILLING POPPY SEED,5K
120,WESTERN CAPE MILLING,PUMPK,26730,,WC MILLING PUMPKIN SEED,5K
120,WESTERN CAPE MILLING,SESA,26731,,WC MILLING SESAME SEED,5K
120,WESTERN CAPE MILLING,SUNFLOWER,26732,,WC MILLING SUNFLOWER SEED,5K
1154,Bakery In House,1005,26734,2001930000007,SOFT HOTDOG  ROLLS,EACH
1154,Bakery In House,1006,26735,211006,SOFT SESAME SEED ROLL,EACH
1154,Bakery In House,1007,26736,211007,SOFT BROWN ROLLS,EACH
1154,Bakery In House,1008,26737,211008,WHOLEWHEAT  ROLLS,EACH
1154,Bakery In House,1009,26738,2001830000008,PORTUGUESE ROLL,EACH
1154,Bakery In House,1010,26739,211010,PORTUGUESE  BREAD,EACH
1154,Bakery In House,1089,26741,211089,MALVA & CUSTARD,EACH
1154,Bakery In House,1011,26742,2001310000009,CONEY ROLL,EACH
1154,Bakery In House,1012,26743,211012,COCTAIL ROLLS,EACH
1154,Bakery In House,1013,26745,211013,SUNNY SEED ROLLS,EACH
1154,Bakery In House,1494,26746,211494,SAVOURY TWIST,EACH
1154,Bakery In House,1087,26747,211087,COCONUT MACAROON,EACH
1154,Bakery In House,1059,26749,211058,P/ COPENHAGEN,EACH
1154,Bakery In House,,26751,211021,ZUKI'S SCONE,EACH
1154,Bakery In House,,26753,211023,ROCK BUNS,EACH
1154,Bakery In House,1466,26755,211466,MILK BREAD,EACH
1154,Bakery In House,1017,26756,211017,OUMA BREAD,EACH
1154,Bakery In House,1152,26762,211152,DESSERT SNOWBALL,EACH
1154,Bakery In House,1593,26764,211593,DESSERT CROISSANT,EACH
1154,Bakery In House,1192,26766,211192,DESSERT SCONES,EACH
1154,Bakery In House,1046,26769,211046,CHEESE CAKE SLICE,EACH
1154,Bakery In House,1580,26772,211580,CHEESE CROISSANTS,EACH
1154,Bakery In House,1677,26775,211677,MOIST  CHOC CUPS,EACH
1154,Bakery In House,1040,26778,211040,BEETROOT & THYME BREAD,EACH
1154,Bakery In House,1090,26781,211090,KIT KAT TART,EACH
1154,Bakery In House,1041,26787,211041,SWEET POTATO BREAD,EACH
1154,Bakery In House,1042,26790,211042,FRENCH LOAF HALF,EACH
1154,Bakery In House,1057,26792,211057,CUSTARD COPENHAGEN.,EACH
