supplier_code,supplier_name,supplier_product_code,ing.prod_code,ean,product_description,pack_size
1668,SPAR WESTERN CAPE,2170110,1269,6001171020259,AROMAT CATER TIN,1KG
1668,SPAR WESTERN CAPE,2283660,1270,6001087305815,ROB CURRY MILD,800G
1668,SPAR WESTERN CAPE,2291348,1271,6001087307604,ROB SPICE CHICKEN,1KG
1668,SPAR WESTERN CAPE,2298902,1272,6001087305006,KNORR TOMATO PRONTO,2KG
1668,SPAR WESTERN CAPE,2453709,1273,6001087307970,ROB SPICE SAVOURY RICE,1KG
1668,SPAR WESTERN CAPE,2497181,1274,,CARTE D'OR JELLY GRNGAGE,2KG
1668,SPAR WESTERN CAPE,2497191,1275,,CARTE D'OR JELLY S/BERRY,2KG
1668,SPAR WESTERN CAPE,2499966,1276,6001087314848,ROB SEASON VEGGIE,1KG
1668,SPAR WESTERN CAPE,2500504,1277,6001087313766,KNORR MARINADE PERI PERI,1KG
1668,SPAR WESTERN CAPE,2615852,1278,6001087355001,FINE FOODS CHUTNEY FRUIT,6.25K
1668,SPAR WESTERN CAPE,2948572,1279,6001087382892,KNORR SCE WHITE,2KG
1668,SPAR WESTERN CAPE,2280235,1908,6001081004189,MRS BALLS CHUTNEY MILD,6.25K
1668,SPAR WESTERN CAPE,2661188,2480,6001008737886,SPAR SC PALM OIL,20L
1668,SPAR WESTERN CAPE,2661190,2481,6001008737893,SPAR SC SUNFLOWER OIL,20LT
1668,SPAR WESTERN CAPE,2752979,2485,6001008755859,SPAR SACHET TOMATO SAUCE,8GR
1668,SPAR WESTERN CAPE,2752983,2486,6001008755866,SPAR TFS SACHETS SALT,1GR
1668,SPAR WESTERN CAPE,2752986,2487,6001008755873,SPAR TFS SACHETS VINEGAR,6GR
1668,SPAR WESTERN CAPE,2770749,2496,6001008761294,SPAR SC MAYONNAISE,20KG
1668,SPAR WESTERN CAPE,2771261,2497,6001008761447,SPAR SC CHUTNEY,2.5KG
1668,SPAR WESTERN CAPE,2771265,2498,6001008761454,SPAR SC CHIP SPRINKL ORIG,1KG
1668,SPAR WESTERN CAPE,2771271,2499,6001008761461,SPAR SC SEASONING ORIGINL,1KG
1668,SPAR WESTERN CAPE,2771428,2500,6001008761515,SPAR SC GLAZE BBQ,2LT
1668,SPAR WESTERN CAPE,2771434,2501,6001008761522,SPAR CC SAUCE SWT MUSTARD,2LT
1668,SPAR WESTERN CAPE,2773149,2502,6001008761843,SPAR SC FRYING OIL,20LT
1668,SPAR WESTERN CAPE,2817680,2503,6001008774454,SPAR SC SAUCE SWT CHILLI,2LT
1668,SPAR WESTERN CAPE,2817693,2504,6001008774461,SPAR SC TOMATO SAUCE,2LT
1668,SPAR WESTERN CAPE,2818448,2505,6001008774683,SPAR SC MAYONNAISE,5KG
1668,SPAR WESTERN CAPE,2838288,2508,6001008776748,SPAR SC CANNED FRT C/TAIL,3KG
1668,SPAR WESTERN CAPE,2838292,2509,6001008776755,SPAR SC CANNED GRT B/ROOT,3KG
1668,SPAR WESTERN CAPE,2838296,2510,6001008776762,SPAR SC CANNED BAKE BEANS,3KG
1668,SPAR WESTERN CAPE,2838300,2511,6001008776779,SPAR SC CANNED 3 BEAN MIX,3KG
1668,SPAR WESTERN CAPE,2838304,2512,6001008776786,SPAR SC CANNED CHAKA MILD,3KG
1668,SPAR WESTERN CAPE,2838308,2513,6001008776793,SPAR SC CANNED TOM/ONION,3KG
1668,SPAR WESTERN CAPE,2877491,2521,6001008785122,SPAR SC SPICE BBQ,1KG
1668,SPAR WESTERN CAPE,2877495,2522,6001008785139,SPAR SC SPICE SHISA GRILL,1KG
1668,SPAR WESTERN CAPE,2877499,2523,6001008785146,SPAR SC SPICE CHIC,1KG
1668,SPAR WESTERN CAPE,2877507,2524,6001008785153,SPAR SC SEASONING VEGGIE,800GR
1668,SPAR WESTERN CAPE,2877577,2525,6001008785177,SPAR SC SAUCE PERI PERI,2LT
1668,SPAR WESTERN CAPE,2880515,2526,6001008785382,SPAR SC SAUCE BBQ,2LT
1668,SPAR WESTERN CAPE,2915192,2536,6001008789694,SPAR SC SAUCE SALD & CHIP,2LT
1668,SPAR WESTERN CAPE,2939235,2537,6001008797880,SPAR SC DSRT CUSTARD INST,1KG
1668,SPAR WESTERN CAPE,2939280,2538,6001008797897,SPAR SC DSRT JELLY G/GAGE,1KG
1668,SPAR WESTERN CAPE,2939284,2539,6001008797903,SPAR SC DSRT JELLY PINEAP,1KG
1668,SPAR WESTERN CAPE,2939810,2540,6001008797972,SPAR SC DSRT JELLY STRAWB,1KG
1668,SPAR WESTERN CAPE,2942224,2541,6001008798795,SPAR SC CANNED PEACH SLIC,3KG
1668,SPAR WESTERN CAPE,2942267,2542,6001008798801,SPAR SC CANNED P/APP RING,3KG
1668,SPAR WESTERN CAPE,2972171,2550,6001008804724,SPAR SC CANNED BUTT BEANS,3KG
1668,SPAR WESTERN CAPE,2972176,2551,6001008804731,SPAR SC CANNED CHIC PEAS,3KG
1668,SPAR WESTERN CAPE,3065088,2555,6001008825156,SPAR SC WRAPS WHITE,1'S
1668,SPAR WESTERN CAPE,3405811,2573,6001008836893,SPAR SC SAUCE 2L PREGO,2L
1668,SPAR WESTERN CAPE,3405812,2574,6001008836909,SPAR SC SAUCE 2L SMOKEY MAYO,2L
1668,SPAR WESTERN CAPE,3405884,2575,6001008836916,SPAR SC SAUCE 2L BURGER & CHI,2L
1668,SPAR WESTERN CAPE,2280767,2682,6001069020279,NOLA MAYONAISSE BUCKET,20KG
1668,SPAR WESTERN CAPE,2418239,7332,6009522301293,C&B MAYO TANGY,3KG
1668,SPAR WESTERN CAPE,3102497,8477,6001008831362,SPAR CC PACK LABEL GENERI,500'S
1668,SPAR WESTERN CAPE,3102517,8478,6001008831379,SPAR TFS PACK LABEL GEN,500'S
1668,SPAR WESTERN CAPE,3102525,8479,6001008831386,SPAR TFS PACK D/CUP,500'S
1668,SPAR WESTERN CAPE,3104022,8481,6001008831706,SPAR TFS PACK CLAM MEDIUM,1'S
1668,SPAR WESTERN CAPE,3104077,8483,6001008831737,SPAR TFS PACK DELI WRAP,1'S
1668,SPAR WESTERN CAPE,3104096,8485,6001008831751,SPAR TFS PACK DBAG SMALL,1'S
1668,SPAR WESTERN CAPE,3414057,8487,6001008842153,"BEAN TREE BISC 40GR, OATS&CRAN",40G
1668,SPAR WESTERN CAPE,3414058,8488,6001008842160,"BEAN TREE BISC 40GR, DBL CHOCO",40G
392,PASTA FACTORY,P1005,18483,6009699640683,P/FACTORY GNOCCHI SPINACH,300GR
392,PASTA FACTORY,P1019,18484,6009699640027,P/FACTORY TAGLIAT SPINACH,250GR
392,PASTA FACTORY,P1015,18485,6009699640614,P/FACTORY TAGLIATE B/NUT,250GR
392,PASTA FACTORY,105183,18486,6009699641116,P/FACTORY RAVIOLI BEEF,250GR
392,PASTA FACTORY,2589906,18487,6009699641123,P/FACTORY RAVIOLI M/ROOM,250GR
392,PASTA FACTORY,P1001,18490,6009699640010,P/FACTORY TAGLIATELLE,250GR
392,PASTA FACTORY,2708194,18491,6009699641710,P/FACTORY SOUP BUTTERNUT,500ML
392,PASTA FACTORY,M1021,18504,6009699642694,P/FACTORY MAC & CHEESE,1KG
392,PASTA FACTORY,M1002,18505,6009699641215,P/FACTORY RAVIOLI BEEF,300GR
392,PASTA FACTORY,P1014,18506,6009699640652,P/FACTORY TAGLIATEL BEET,250GR
392,PASTA FACTORY,S1032,18512,6009699643059,P/ACTORY SOUP CORN CHOWDE,500ML
392,PASTA FACTORY,M1045,18513,6009699643066,P/FACTORY B/CHIC CUR RICE,350GR
392,PASTA FACTORY,M1008,18514,6009699642885,P/FACTORY CHIC A LA KING,350GR
392,PASTA FACTORY,M1010,18515,6009699642908,P/FACTORY COTTAGE PIE,350GR
392,PASTA FACTORY,M1059,18516,6009699643073,P/FACTORY LAMB ROGAN JOSH,350GR
392,PASTA FACTORY,M1046,18517,6009699643080,P/FACTORY MOROCCAN TAGINE,350GR
392,PASTA FACTORY,M1057,18518,6009699642977,P/FACTORY MAC & CHEESE,300GR
392,PASTA FACTORY,M1048,18519,6009699642717,P/FACTORY CANNELLONI SPIN,1KG
392,PASTA FACTORY,M1058,18520,6009699641901,P/FACTORY SPAGHETTI BOLOG,350GR
392,PASTA FACTORY,Z1007,18521,6009699642618,P/FACTORY FOCACCIA R/MARY,300GR
392,PASTA FACTORY,Z1010,18522,6009699642625,P/FACTORY FOCACCIA THYME,340GR
392,PASTA FACTORY,Z1011,18523,6009699643097,P/FACTORY FOCACCIA GARLIC,255GR
392,PASTA FACTORY,Z1014,18524,6009699643103,P/FACTORY PIZZA BBQ CHIC,420GR
392,PASTA FACTORY,Z1015,18525,6009699641437,P/FACTORY PIZZA GRECA,400GR
392,PASTA FACTORY,Z1008,18526,6009699641338,P/FACTORY PIZZA SICILIANA,470GR
392,PASTA FACTORY,P1007,18527,6009699642946,P/FACTORY NOODLES RAMEN,250GR
392,PASTA FACTORY,P1029,18528,6009699643011,P/FACTORY SPAGHETTI,250GR
392,PASTA FACTORY,P11030,18529,6009699643004,P/FACTORY GIRASOLI B/NUT,250GR
392,PASTA FACTORY,P1031,18530,6009699642953,P/FACTORY PANZEROTTI SP&R,250GR
392,PASTA FACTORY,P1036,18531,6009699642984,P/FACTORY NDLES CAUL&C GF,200GR
392,PASTA FACTORY,P1032,18532,6009699643110,P/FACTORY RAVIOLI BEEF VP,1KG
392,PASTA FACTORY,P1033,18533,6009699643127,P/FACTORY GIRASOLI B/N VP,1KG
392,PASTA FACTORY,P1037,18534,6009699643134,P/FACTORY P/ROTTI SPIN VP,1KG
392,PASTA FACTORY,P1034,18535,6009699643141,P/FACTORY GNOCCHI POT VP,1KG
392,PASTA FACTORY,P1035,18536,6009699643158,P/FACTORY CASARECCE VP,1KG
520,PESTO PRINCESS FOODS,FPBA1000,19152,6009643250623,PESTO PRINCESS BASIL PEST,1KG
520,PESTO PRINCESS FOODS,FPTH1000,19153,6009643250630,PESTO PRINCESS THAI,1KG
